LoadNumber,LoadName,PnaLoad,PssLoad,NspLoad,SectionNumber,StdDeviationForMwNoise,MwFrequencyBiasFactor,MvFrequencyBiasFactor,LoadType,OptimizationStatus,LoadShedCostCurvWF,MwConstantPowerFactor,MwConstantCurrentFactor,MwConstantImpedanceFactor,MvConstantPowerFactor,MvConstantCurrentFactor,MvConstantImpedanceFactor,ColdLoadAlphaFactor,ColdLoadBetaFactor,MwStandardDeviation,MwInversion,MwMeasOverrideStatus,MwReplacementValue,CmeMwUsage,MvStandardDeviation,MvInversion,MvMeasOverrideStatus,MvReplacementValue,CmeMvUsage,MwHiCtrlLimit,MwLowCtrlLimit,MwOptMinShiftTarg,MwMaxTransferFlag,MwPseudoMeasurementSe,MvPseudoMeasurementSe,MwInjErrDistribFactSe,MvInjErrDistribFactSe,ActiveMwCostCurve,FlaLoadSeqImpedanceFlag,FlaLoadPassiveComponent,FlaActiveCompZeroSeqResis,FlaActiveCompZeroSeqReac,FlaActiveCompPosSeqSubTrResis,FlaActiveCompPosSeqSubTrReac,FlaActiveCompPosSeqTrReac,FlaPassiveCompZeroSeqResis,FlaPassiveCompZeroSeqReac,FlaActiveCompNegativSeqResis,FlaActiveCompNegativSeqReac,TsmOptimizationStatus,AssetLabel,DefaultMwSchedule,DefaultMvOrPfSchedule,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,LoadResponseLeadTime,LoadResponseRateOfIncrease,LoadResponseRateOfDecrease,ConnectionStatusIndicatorRef,BusNumberRef,MwTelemetryRef,MvTelemetryRef,Mw_StandardDeviation,MwInversionFlag,MwCmeUsage,MwOverrideStatus,Mw_ReplacementValue,SetOrder4,MwAnalogPointRef,MwCtBreakerRef,Mv_StandardDeviation,MvInversionFlag,MvCmeUsage,MvOverrideStatus,Mv_ReplacementValue,SetOrder5,MvAnalogPointRef,MvCtBreakerRef,AmpStandardDeviation,AmpInversionFlag,AmpCmeUsage,AmpOverrideStatus,AmpReplacementValue,SetOrder6,AmpAnalogPointRef,AmpCtBreakerRef,CurveNumber,CostAtFirstBrkpt,MwAtBrkpt01,CostAtBrkpt01,MwAtBrkpt02,CostAtBrkpt02,MwAtBrkpt03,CostAtBrkpt03,MwAtBrkpt04,CostAtBrkpt04,MwAtBrkpt05,CostAtBrkpt05,MwAtBrkpt06,CostAtBrkpt06,MwAtBrkpt07,CostAtBrkpt07,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef
4790,WOODROW,No,No,Yes,58,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2188916,0,0,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,1,313017,3614,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,67,228264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5274,ORIZABA,No,Yes,Yes,200,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2178999,2.374675853,0.322360656,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324478,3450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5275,ARGONNE,No,Yes,Yes,210,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2130057,2.78256161,0.423098361,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324479,3450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5276,SASSOON,No,Yes,Yes,105,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2190764,3.666974706,0.322360656,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324480,3450,NULL,NULL,3,+,In/Out,Normal,NULL,190,4580,NULL,3,+,In/Out,Normal,NULL,18,120946,NULL,10,+,Out,Block,NULL,263,120943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5277,CAPRI,No,Yes,Yes,113,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2136391,4.031012087,0.382803279,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324481,3450,NULL,NULL,3,+,In/Out,Normal,NULL,190,4581,NULL,3,+,In/Out,Normal,NULL,20,120951,NULL,10,+,Out,Block,NULL,263,120948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5278,LUCIA,No,Yes,Yes,115,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2170246,3.676227115,0.20147541,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324482,3450,NULL,NULL,3,+,In/Out,Normal,NULL,190,4582,NULL,3,+,In/Out,Normal,NULL,91,120956,NULL,10,+,Out,Block,NULL,263,120953,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5279,RUSSELL,No,Yes,Yes,117,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2190737,2.709817643,0.664868852,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324483,3450,NULL,NULL,3,+,In/Out,Normal,NULL,190,4583,NULL,3,+,In/Out,Normal,NULL,10,120961,NULL,10,+,Out,Block,NULL,263,120958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5280,QUINCY,No,Yes,Yes,601,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2182109,0.480385533,0.040295082,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324497,3451,NULL,NULL,3,+,In/Out,Normal,NULL,190,4585,NULL,3,+,In/Out,Normal,NULL,89,120966,NULL,10,+,Out,Block,NULL,263,120963,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5281,TRIMBLE,No,Yes,Yes,600,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2189252,0.761685452,0.100737705,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,1,324498,3451,NULL,NULL,3,+,In/Out,Normal,NULL,190,4586,NULL,3,+,In/Out,Normal,NULL,13,120972,NULL,10,+,Out,Block,NULL,263,120969,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5317,FALCON,No,No,Yes,63,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2157862,0,0,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,1,325885,3456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,263,228268,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5318,MEDIO,No,No,Yes,61,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2180019,0,0,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,1,325886,3456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,263,228272,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5319,LUTHER,No,No,Yes,56,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2170247,0,0,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,1,325887,3456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,263,228283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5320,SEVENTH ST.,No,No,Yes,55,0,0.015,0,Conforming,Off,1,1,NULL,NULL,1,NULL,NULL,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999,0.0001,0,NULL,Off,Off,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Off,2183693,1.2,0.1,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,1,325888,3456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,263,228287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
