DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
CASA DIAB 33 BT_804,EMS,ABC,en_506401,en_506402,SRD_33.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
CASA DIAB 12 BT_805,EMS,ABC,en_543202,en_543203,SRD_12.0KV_EMS,DMSLimitGrp1,CASA_DIABLO,NULL,All
HANFOR CAP 1AB METER_940,EMS,ABC,en_959600,en_959611,SRD_12.0KV_EMS,DMSLimitGrp1,HANFORD,NULL,All
MOULTON BANK 3_941,EMS,ABC,en_4202017,en_4202139,SRD_12.0KV_EMS,DMSLimitGrp1,MOULTON,NULL,All
MACARTHUR BK 1_1001,EMS,ABC,en_1200703,en_1200003,SRD_12.0KV_EMS,DMSLimitGrp1,MACARTHUR,NULL,All
MACARTHUR BK 3_1002,EMS,ABC,en_1200706,en_1200013,SRD_12.0KV_EMS,DMSLimitGrp1,MACARTHUR,NULL,All
MACARTHUR TIE_1003,EMS,ABC,en_1200180,en_1200009,SRD_12.0KV_EMS,DMSLimitGrp1,MACARTHUR,NULL,All
MACARTHUR PAR_1004,EMS,ABC,en_1200181,en_1200105,SRD_12.0KV_EMS,DMSLimitGrp1,MACARTHUR,NULL,All
HIGHLAND BK 2_1183,EMS,ABC,en_3212703,en_3212055,SRD_12.0KV_EMS,DMSLimitGrp1,HIGHLAND,NULL,All
HIGHLAND BK 3_1184,EMS,ABC,en_3212706,en_3212063,SRD_12.0KV_EMS,DMSLimitGrp1,HIGHLAND,NULL,All
ALESSANDRO BK 4_1245,EMS,ABC,en_3275703,en_3275058,SRD_12.0KV_EMS,DMSLimitGrp1,ALESSANDRO,NULL,All
ALESSANDRO BK 5_1246,EMS,ABC,en_3275706,en_3275064,SRD_12.0KV_EMS,DMSLimitGrp1,ALESSANDRO,NULL,All
BORREGO BK 2_1252,EMS,ABC,en_3286703,en_3286053,SRD_12.0KV_EMS,DMSLimitGrp1,BORREGO,NULL,All
SAWTELLE BK 1_1263,EMS,ABC,en_3290703,en_3290052,SRD_16.0KV_EMS,DMSLimitGrp1,SAWTELLE,NULL,All
SAWTELLE BK 2_1264,EMS,ABC,en_3290706,en_3290056,SRD_16.0KV_EMS,DMSLimitGrp1,SAWTELLE,NULL,All
IRVINE BK 2_1269,EMS,ABC,en_3297703,en_3297005,SRD_12.0KV_EMS,DMSLimitGrp1,IRVINE,NULL,All
IRVINE BK 1_1270,EMS,ABC,en_3297706,en_3297011,SRD_12.0KV_EMS,DMSLimitGrp1,IRVINE,NULL,All
SKYLARK BK 2_1281,EMS,ABC,en_3303703,en_3303054,SRD_12.0KV_EMS,DMSLimitGrp1,SKYLARK,NULL,All
SKYLARK BK 1_1282,EMS,ABC,en_3303706,en_3303064,SRD_12.0KV_EMS,DMSLimitGrp1,SKYLARK,NULL,All
CAMDEN BK 2_1299,EMS,ABC,en_3311703,en_3311054,SRD_12.0KV_EMS,DMSLimitGrp1,CAMDEN,NULL,All
CAJALCO BK 1_1443,EMS,ABC,en_3465703,en_3465055,SRD_12.0KV_EMS,DMSLimitGrp1,CAJALCO,NULL,All
TELEGRAPH BK 1_1460,EMS,ABC,en_3494703,en_3494054,SRD_12.0KV_EMS,DMSLimitGrp1,TELEGRAPH,NULL,All
TELEGRAPH BK 2_1461,EMS,ABC,en_3494706,en_3494062,SRD_12.0KV_EMS,DMSLimitGrp1,TELEGRAPH,NULL,All
CHESTNUT BK 1_1467,EMS,ABC,en_3489703,en_3489055,SRD_12.0KV_EMS,DMSLimitGrp1,CHESTNUT,NULL,All
CHESTNUT BK 2_1468,EMS,ABC,en_3489706,en_3489061,SRD_12.0KV_EMS,DMSLimitGrp1,CHESTNUT,NULL,All
NELSON BK 2_1472,EMS,ABC,en_3439703,en_3439061,SRD_12.0KV_EMS,DMSLimitGrp1,NELSON,NULL,All
HASKELL BK 1_1479,EMS,ABC,en_3507703,en_3507060,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
HASKELL BK 2_1480,EMS,ABC,en_3507706,en_3507054,SRD_16.0KV_EMS,DMSLimitGrp1,HASKELL,NULL,All
VICTOR BK 8_1481,EMS,ABC,en_3522703,en_3522008,SRD_12.0KV_EMS,DMSLimitGrp1,VICTOR,NULL,All
VICTOR BK 7_1482,EMS,ABC,en_3522706,en_3522004,SRD_12.0KV_EMS,DMSLimitGrp1,VICTOR,NULL,All
JOHANNA BK 8_1486,EMS,ABC,en_3527706,en_3527064,SRD_12.0KV_EMS,DMSLimitGrp1,JOHANNA,NULL,All
